Book Name,Subject,Edition ,Section ,Copies,Id,Author
Optimization and Probability in Systems Engineering,Mathematics,,,1,725,Rau
Non-Linear Programming Theory and Algorithms,Mathematics,,2nd ,2,726,"Bazaraa, Sherali, Shetty"
Numerical Methods in Fortran,Mathematics,,,1,727,"Mccormick, Salvadori"
Linear Algebra and its Application (photocopy),Mathematics,,1st,1,728,Gilbert Strangg
Linear Algebra and its Application,Mathematics,,4th,1,729,Gilbert Strangg
Numerical Methods in Engineering,Mathematics,,,1,730,Sal
Numerical Methods,Mathematics,,,1,731,John H  Mathhews
Matrix Computer Methods in Engineering,Mathematics,,,1,732,Pipes Hovanessian
Introduction to Numerical Analysis,Mathematics,,,1,733,Hil
Numerical Methods in Extremal Problems,Mathematics,,,1,734,"Pshenishny, Danilin"
Optimization Methods for Engineering Design,Mathematics,,,1,735,Addison Wesley
Mathematics,Mathematics,,,1,736,"Gusav, Mordkovich"
Linear Algebra and Matrix Theory (photocopy),Mathematics,,,1,737,"Jimmie, Linda Gilbert"
Introduction to Matrix Analysis,Mathematics,,,1,738,Bellman
Introduction to Linear System Theory,Mathematics,,,1,739,Chen
Optimization Used to Personal Computers,Mathematics,,,1,740,Cuthbert
Operational Calculus,Mathematics,,,1,741,"Van-der-Pol, Bremmer"
Advanced Engineering Mathematics,Mathematics,,8th,1,742,Kreyszij
Advanced Engineering Mathematics,Mathematics,,6th,1,743,Kreyszij
Linear Algebra,Mathematics,,2nd,1,744,"Kwak, Hong"
Non-parametric Statistics,Mathematics,,,1,745,"Sidney, Siegel"
Probability Theory and Mathematical Statistics,Mathematics,,,1,746,G. Klimov
A course in Probability Theory,Mathematics,,2nd,1,747,Kai Lai Chung
An Introduction to Probability Theory and its Applications,Mathematics,,2nd,1,748,Feller
Stochastic Processes,Mathematics,,2nd,1,749,Ross
Operations Resesarch,Mathematics,,8th,1,750,Hamdy A Taha
Matrix Computations(Photocopy),Mathematics,,3rd,1,751,"Golub, Van Loan"
Problems and Excercises in the Calculus of Variations,Mathematics,,,1,752,"Krasnov, Makarenko and Kiselev"
Sadhana 1994 (photocopy),Mathematics,,,1,753,
,,,,,754,
Measurement Systems,Electrical grid/ Measurement/ design/ control (Miscellaneous),,4th,1,755,Doebelin
Measurement Systems,Electrical grid/ Measurement/ design/ control (Miscellaneous),,5th,1,756,Doebelin and Manik
Instrumentation Measurement and Feedback,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,757,Barry E Jones
Microgrids and Active Power Distribution Networks(Photocopy),Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,758,"Chowdhury, Chowdhury and Crowley"
Power Distribution Planning Reference Book,Electrical grid/ Measurement/ design/ control (Miscellaneous),,2nd,1,759,Willis
Grid Security and Management,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,760,P K Shetty and V K Agarwal
Elements of Electrical Power System Design,Electrical grid/ Measurement/ design/ control (Miscellaneous),,,1,761,Deshpande
